x y ra dec
1299.4211 20.7863 281.4139709472656 -26.99077796936035
1695.2622 4.6533 260.50244140625 -24.999488830566406
1677.5851 19.703 261.5925598144531 -24.17502212524414
1385.099 31.305 276.9927978515625 -25.421276092529297
1256.4154 39.452 283.8163146972656 -26.296594619750977
1200.8738 29.7298 286.73516845703125 -27.66984748840332
1500.4417 33.2007 270.9685363769531 -24.360727310180664
2071.1328 90.0203 241.35931396484375 -19.805397033691406
2059.8328 71.9326 241.85125732421875 -20.8686580657959
1605.7371 64.0178 265.85772705078125 -21.683090209960938
2177.5669 97.5996 235.4867401123047 -19.678586959838867
1463.3932 89.7425 273.44085693359375 -21.05883026123047
2043.5537 94.6279 242.99893188476562 -19.460281372070312
1268.3014 93.7069 283.5423889160156 -22.74481964111328
1409.3539 105.3753 276.337646484375 -20.541614532470703
1977.6049 107.1812 246.75599670410156 -18.45619773864746
1221.0865 119.9126 286.1705627441406 -21.74135971069336
1255.1492 123.5624 284.43243408203125 -21.106624603271484
1198.9596 135.5846 287.44097900390625 -21.023530960083008
1782.3308 151.3642 257.59417724609375 -15.725236892700195
1391.3894 137.8 277.5493469238281 -18.728586196899414
1385.7606 144.2218 277.8595886230469 -18.402647018432617
1652.6526 163.5487 264.3967590332031 -15.398414611816406
2180.0203 167.9615 236.01841735839844 -15.67268180847168
1166.0637 178.5494 289.40869140625 -18.952884674072266
1149.5828 200.1795 290.418212890625 -17.847248077392578
1389.2196 203.0638 278.1805114746094 -14.865653991699219
1406.3159 205.6618 277.29937744140625 -14.565803527832031
1641.4542 206.6907 265.3537902832031 -12.875179290771484
1275.9872 197.8642 283.8792419433594 -16.376211166381836
1740.9547 201.0311 260.2068176269531 -12.846881866455078
1031.5946 197.8002 296.59088134765625 -19.760906219482422
1281.9908 209.5204 283.6796569824219 -15.603022575378418
1956.3259 239.1471 249.28970336914062 -10.567153930664062
1153.3661 231.441 290.4317626953125 -15.95500373840332
1895.4003 234.2859 252.45823669433594 -10.782804489135742
1677.5276 232.4834 263.693115234375 -11.242006301879883
2107.5266 235.9122 241.09239196777344 -11.373022079467773
1800.4868 239.4972 257.4496765136719 -10.523039817810059
1442.3737 243.7889 275.8006896972656 -12.0147123336792
1063.8536 248.4023 295.18060302734375 -16.293148040771484
1055.8911 252.6792 295.62957763671875 -16.123973846435547
1564.9224 266.1021 269.75665283203125 -9.77336311340332
1266.4108 260.1898 284.84918212890625 -12.840463638305664
1052.6259 265.7909 295.889404296875 -15.469680786132812
1387.9832 269.3219 278.7598571777344 -10.977194786071777
2005.907 280.4627 246.950927734375 -8.37170124053955
1671.4594 285.8847 264.4613342285156 -8.11872386932373
1083.0222 277.9872 294.3936462402344 -14.301465034484863
1201.9409 282.6352 288.3146667480469 -12.282512664794922
986.4315 284.6352 299.4875793457031 -15.4912691116333
2079.4629 281.7184 243.03038024902344 -8.547579765319824
1549.0308 295.4759 270.77044677734375 -8.180265426635742
1447.9204 294.9226 275.9148254394531 -8.9345064163208
